Date,Vaccine supply - Total number of doses allocated,Vaccine supply - Total number of doses delivered
2021-02-15T00:00:00Z,1618320,1520690
2021-02-22T00:00:00Z,1763400,1643450
2021-03-01T00:00:00Z,2138450,1886160
2021-03-08T00:00:00Z,2882440,2189030
2021-03-15T00:00:00Z,3209170,2673640
2021-03-22T00:00:00Z,3473250,3054390
