Date,NHS workforce COVID-19 absences - Nursing and midwifery staff - Weekly average,NHS workforce COVID-19 absences - Medical and dental staff - Weekly average,NHS workforce COVID-19 absences - Other staff - Weekly average,NHS workforce COVID-19 absences - All staff - Weekly average
2020-04-07,4004.8571428571427,360.57142857142856,4974.571428571428,9340
2020-04-14,3399.8571428571427,239.28571428571428,3921.5714285714284,7560.714285714285
2020-04-21,3414.714285714286,224.85714285714286,3782,7421.571428571428
2020-04-28,3332.4285714285716,218.28571428571428,3684,7234.714285714285
2020-05-05,3186.285714285714,201.71428571428572,3262.714285714286,6650.714285714285
2020-05-12,2993.4285714285716,185.57142857142858,3053.4285714285716,6232.428571428572
2020-05-19,3008.1428571428573,181,3135.8571428571427,6325
2020-05-26,2887.5714285714284,168.28571428571428,3067.1428571428573,6123
2020-06-02,2647.714285714286,129.57142857142858,2782,5559.285714285715
2020-06-09,2410.1428571428573,123.42857142857143,2499.285714285714,5032.857142857143
2020-06-16,2300.8571428571427,113.85714285714286,2465,4879.714285714285
2020-06-23,2183.714285714286,102.28571428571429,2305.285714285714,4591.285714285715
2020-06-30,2173,92.42857142857143,2186.1428571428573,4451.571428571428
2020-07-07,1991.4285714285713,68.71428571428571,1972.2857142857142,4032.4285714285716
2020-07-14,1845.5714285714287,67.57142857142857,2008.7142857142858,3921.8571428571427
2020-07-21,1850.857142857143,71.28571428571429,2085.285714285714,4007.4285714285716
2020-07-28,2014,74.28571428571429,2152.5714285714284,4240.857142857143
2020-08-04,1498,48.57142857142857,1366.7142857142858,2913.2857142857147
2020-08-11,701.2857142857143,19.857142857142858,584.4285714285714,1305.5714285714287
2020-08-18,593.5714285714286,24.714285714285715,499.7142857142857,1118
2020-08-25,691.8571428571429,37.142857142857146,569.5714285714286,1298.5714285714284
2020-09-01,907.4285714285714,43.285714285714285,834.4285714285714,1785.1428571428573
2020-09-08,793.2857142857143,49.857142857142854,742.2857142857143,1585.4285714285716
2020-09-15,779.5714285714286,40.857142857142854,705.1428571428571,1525.5714285714284
2020-09-22,830.5714285714286,34.42857142857143,658.1428571428571,1523.142857142857
2020-09-29,857.8571428571429,44,684.7142857142857,1586.5714285714284
2020-10-06,910,46.57142857142857,777.1428571428571,1733.7142857142858
2020-10-13,1036.7142857142858,43.857142857142854,1023.8571428571429,2104.4285714285716
2020-10-20,1376.5714285714287,53.57142857142857,1248.5714285714287,2678.7142857142862
2020-10-27,1444.7142857142858,63.142857142857146,1392.2857142857142,2900.142857142857
2020-11-03,1428.142857142857,93.71428571428571,1330.857142857143,2852.714285714286
2020-11-10,1541.5714285714287,105.42857142857143,1366.5714285714287,3013.5714285714284
2020-11-17,1722.2857142857142,116.14285714285714,1398.5714285714287,3237
2020-11-24,1768.857142857143,102.42857142857143,1301.5714285714287,3172.857142857143
2020-12-01,1695.142857142857,87,1197.7142857142858,2979.857142857143
2020-12-08,1564.857142857143,75.57142857142857,1126,2766.4285714285716
2020-12-15,1444.7142857142858,79.71428571428571,1098.5714285714287,2623
2020-12-22,1488.857142857143,71,1103.142857142857,2663
