Date,Number of COVID-19 confirmed deaths registered to date
2020-12-20,4283
2020-12-21,4283
2020-12-22,4326
2020-12-23,4373
2020-12-24,4416
2020-12-25,4459
2020-12-26,4459
2020-12-27,4460
2020-12-28,4460
2020-12-29,4467
2020-12-30,4510
2020-12-31,4578
2021-01-01,4621
2021-01-02,4621
2021-01-03,4622
2021-01-04,4622
2021-01-05,4633
2021-01-06,4701
2021-01-07,4779
2021-01-08,4872
2021-01-09,4965
2021-01-10,4968
2021-01-11,4969
2021-01-12,5023
2021-01-13,5102
2021-01-14,5166
2021-01-15,5227
2021-01-16,5305
2021-01-17,5305
2021-01-18,5305
2021-01-19,5376
2021-01-20,5468
2021-01-21,5557
2021-01-22,5628
2021-01-23,5704
2021-01-24,5705
2021-01-25,5709
2021-01-26,5796
2021-01-27,5888
2021-01-28,5970
2021-01-29,6040
2021-01-30,6100
2021-01-31,6106
2021-02-01,6112
2021-02-02,6181
2021-02-03,6269
2021-02-04,6322
2021-02-05,6383
2021-02-06,6431
2021-02-07,6438
2021-02-08,6443
2021-02-09,6501
2021-02-10,6551
2021-02-11,6599
2021-02-12,6666
2021-02-13,6711
2021-02-14,6715
2021-02-15,6715
2021-02-16,6764
2021-02-17,6828
2021-02-18,6885
2021-02-19,6916
2021-02-20,6945
2021-02-21,6950
2021-02-22,6950
2021-02-23,7006
2021-02-24,7053
2021-02-25,7084
2021-02-26,7111
2021-02-27,7129
2021-02-28,7131
2021-03-01,7131
2021-03-02,7164
2021-03-03,7371
2021-03-04,7398
2021-03-05,7409
2021-03-06,7421
2021-03-07,7421
2021-03-08,7422
2021-03-09,7441
2021-03-10,7461
2021-03-11,7483
2021-03-12,7500
2021-03-13,7508
2021-03-14,7510
2021-03-15,7510
2021-03-16,7517
2021-03-17,7529
2021-03-18,7536
2021-03-19,7544
2021-03-20,7552
2021-03-21,7552
2021-03-22,7552
2021-03-23,7559
2021-03-24,7562
2021-03-25,7572
2021-03-26,7578
2021-03-27,7584
2021-03-28,7584
2021-03-29,7584
2021-03-30,7596
2021-03-31,7602
2021-04-01,7610
2021-04-02,7614
2021-04-03,7614
2021-04-04,7614
2021-04-05,7614
2021-04-06,7614
2021-04-07,7619
2021-04-08,7620
2021-04-09,7626
2021-04-10,7630
2021-04-11,7630
2021-04-12,7630
2021-04-13,7633
2021-04-14,7636
2021-04-15,7637
2021-04-16,7640
2021-04-17,7642
2021-04-18,7642
2021-04-19,7642
2021-04-20,7644
2021-04-21,7643
2021-04-22,7646
2021-04-23,7647
2021-04-24,7651
2021-04-25,7652
2021-04-26,7652
2021-04-27,7653
2021-04-28,7654
2021-04-29,7659
2021-04-30,7659
2021-05-01,7660
2021-05-02,7660
2021-05-03,7660
2021-05-04,7660
2021-05-05,7660
2021-05-06,7660
2021-05-07,7661
2021-05-08,7661
2021-05-09,7661
2021-05-10,7661
2021-05-11,7661
2021-05-12,7661
2021-05-13,7662
2021-05-14,7664
2021-05-15,7664
2021-05-16,7664
2021-05-17,7664
2021-05-18,7664
2021-05-19,7664
2021-05-20,7664
2021-05-21,7664
2021-05-22,7664
2021-05-23,7664
2021-05-24,7664
2021-05-25,7666
2021-05-26,7666
2021-05-27,7666
2021-05-28,7668
2021-05-29,7668
2021-05-30,7668
2021-05-31,7669
2021-06-01,7669
2021-06-02,7670
2021-06-03,7674
2021-06-04,7676
2021-06-05,7677
2021-06-06,7677
2021-06-07,7677
2021-06-08,7677
2021-06-09,7678
2021-06-10,7679
2021-06-11,7679
2021-06-12,7681
2021-06-13,7681
2021-06-14,7681
2021-06-15,7683
2021-06-16,7684
2021-06-17,7688
2021-06-18,7690
2021-06-19,7692
2021-06-20,7692
2021-06-21,7692
2021-06-22,7696
2021-06-23,7701
2021-06-24,7706
2021-06-25,7708
2021-06-26,7711
