Date,Number of COVID-19 confirmed deaths registered to date
2020-09-08T00:00:00Z,2499
2020-09-09T00:00:00Z,2499
2020-09-10T00:00:00Z,2499
2020-09-11T00:00:00Z,2499
2020-09-12T00:00:00Z,2499
2020-09-13T00:00:00Z,2499
2020-09-14T00:00:00Z,2499
2020-09-15T00:00:00Z,2500
2020-09-16T00:00:00Z,2501
2020-09-17T00:00:00Z,2501
2020-09-18T00:00:00Z,2502
2020-09-19T00:00:00Z,2505
2020-09-20T00:00:00Z,2505
2020-09-21T00:00:00Z,2505
2020-09-22T00:00:00Z,2506
2020-09-23T00:00:00Z,2508
2020-09-24T00:00:00Z,2510
2020-09-25T00:00:00Z,2511
2020-09-26T00:00:00Z,2511
2020-09-27T00:00:00Z,2512
2020-09-28T00:00:00Z,2512
2020-09-29T00:00:00Z,2512
2020-09-30T00:00:00Z,2519
2020-10-01T00:00:00Z,2522
2020-10-02T00:00:00Z,2526
2020-10-03T00:00:00Z,2530
2020-10-04T00:00:00Z,2530
2020-10-05T00:00:00Z,2530
2020-10-06T00:00:00Z,2532
2020-10-07T00:00:00Z,2533
2020-10-08T00:00:00Z,2538
2020-10-09T00:00:00Z,2544
2020-10-10T00:00:00Z,2550
2020-10-11T00:00:00Z,2550
2020-10-12T00:00:00Z,2550
2020-10-13T00:00:00Z,2557
2020-10-14T00:00:00Z,2572
2020-10-15T00:00:00Z,2585
2020-10-16T00:00:00Z,2594
2020-10-17T00:00:00Z,2609
2020-10-18T00:00:00Z,2609
2020-10-19T00:00:00Z,2610
2020-10-20T00:00:00Z,2625
2020-10-21T00:00:00Z,2653
2020-10-22T00:00:00Z,2670
2020-10-23T00:00:00Z,2688
2020-10-24T00:00:00Z,2699
2020-10-25T00:00:00Z,2700
2020-10-26T00:00:00Z,2701
2020-10-27T00:00:00Z,2726
2020-10-28T00:00:00Z,2754
2020-10-29T00:00:00Z,2791
2020-10-30T00:00:00Z,2819
2020-10-31T00:00:00Z,2843
2020-11-01T00:00:00Z,2849
2020-11-02T00:00:00Z,2849
2020-11-03T00:00:00Z,2877
2020-11-04T00:00:00Z,2927
2020-11-05T00:00:00Z,2966
2020-11-06T00:00:00Z,2997
2020-11-07T00:00:00Z,3036
2020-11-08T00:00:00Z,3039
2020-11-09T00:00:00Z,3040
2020-11-10T00:00:00Z,3079
2020-11-11T00:00:00Z,3143
2020-11-12T00:00:00Z,3188
2020-11-13T00:00:00Z,3244
2020-11-14T00:00:00Z,3280
2020-11-15T00:00:00Z,3280
2020-11-16T00:00:00Z,3286
2020-11-17T00:00:00Z,3323
2020-11-18T00:00:00Z,3377
2020-11-19T00:00:00Z,3427
2020-11-20T00:00:00Z,3459
2020-11-21T00:00:00Z,3496
2020-11-22T00:00:00Z,3503
2020-11-23T00:00:00Z,3503
2020-11-24T00:00:00Z,3544
2020-11-25T00:00:00Z,3588
2020-11-26T00:00:00Z,3639
2020-11-27T00:00:00Z,3676
2020-11-28T00:00:00Z,3720
