Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-04-07,296,149,152,239,243,210,1094,112,547,621,*,42,516,*
2020-04-08,312,160,155,255,259,223,1166,122,575,700,*,43,586,*
2020-04-09,362,167,163,288,280,236,1251,137,607,747,*,43,667,*
2020-04-10,364,177,164,333,302,251,1314,144,662,799,*,43,712,*
2020-04-11,376,189,179,356,324,261,1387,148,707,856,5,43,753,6
2020-04-12,390,199,186,379,337,291,1449,151,758,915,5,43,803,6
2020-04-13,390,204,192,383,352,313,1486,163,784,932,5,45,812,6
2020-04-14,416,208,199,397,367,335,1575,168,822,989,5,45,826,6
2020-04-15,457,215,207,424,380,357,1661,180,873,1040,5,45,898,6
2020-04-16,503,220,207,446,400,389,1742,184,911,1107,5,45,937,6
2020-04-17,536,229,209,488,431,394,1794,187,934,1172,5,45,979,6
2020-04-18,560,231,222,514,451,432,1905,193,995,1239,5,45,1022,6
2020-04-19,586,237,229,532,509,464,1949,197,1022,1344,5,51,1056,6
2020-04-20,604,239,231,542,542,490,2020,198,1051,1399,6,51,1071,6
2020-04-21,623,240,231,561,562,519,2085,201,1076,1426,6,52,1084,6
2020-04-22,640,243,235,593,569,550,2174,211,1118,1515,6,54,1124,6
2020-04-23,653,248,235,619,604,602,2250,214,1155,1604,6,54,1159,6
2020-04-24,678,253,235,637,606,638,2311,214,1176,1684,6,54,1199,6
2020-04-25,692,258,237,653,655,700,2428,220,1187,1730,7,54,1224,6
2020-04-26,705,259,240,672,662,748,2479,225,1231,1785,7,54,1251,6
2020-04-27,721,269,243,681,680,771,2531,228,1265,1804,7,54,1261,6
2020-04-28,738,272,243,692,689,782,2604,232,1297,1832,7,54,1273,6
2020-04-29,745,279,244,712,717,813,2672,236,1329,1907,7,54,1313,6
2020-04-30,762,279,246,737,724,834,2759,242,1374,1980,7,54,1349,6
2020-05-01,778,281,249,750,747,866,2864,259,1400,2014,7,54,1379,6
2020-05-02,793,283,250,768,757,889,2939,288,1436,2065,7,54,1392,6
2020-05-03,799,284,250,776,788,898,2985,297,1454,2089,7,54,1410,6
2020-05-04,818,284,250,778,794,931,3029,299,1492,2113,7,54,1411,6
2020-05-05,825,284,254,784,802,946,3070,307,1520,2149,7,54,1429,6
2020-05-06,846,285,254,792,809,957,3203,310,1541,2200,7,54,1445,6
2020-05-07,853,286,254,801,818,973,3277,313,1576,2241,7,54,1465,6
2020-05-08,885,286,255,804,828,1001,3333,317,1628,2274,7,54,1471,6
2020-05-09,895,286,255,810,828,1035,3367,317,1635,2324,7,54,1486,6
2020-05-10,904,286,255,811,828,1050,3449,320,1660,2359,7,54,1497,6
2020-05-11,912,292,255,813,839,1078,3479,322,1693,2380,7,54,1497,6
2020-05-12,925,294,255,813,856,1102,3510,324,1715,2397,7,54,1505,6
2020-05-13,946,297,254,816,859,1123,3579,324,1721,2428,7,54,1515,6
2020-05-14,952,298,255,823,863,1142,3628,328,1762,2459,7,54,1540,6
2020-05-15,964,304,255,824,867,1152,3663,331,1781,2497,7,54,1555,6
2020-05-16,966,310,257,824,871,1181,3707,331,1812,2539,7,54,1582,6
2020-05-17,974,313,257,824,873,1189,3731,331,1828,2561,7,54,1589,6
2020-05-18,976,316,257,824,880,1200,3742,331,1840,2568,7,54,1593,6
2020-05-19,981,317,257,825,883,1206,3759,333,1853,2575,7,54,1599,6
2020-05-20,987,322,257,826,894,1216,3780,334,1867,2584,7,54,1617,6
2020-05-21,995,322,257,826,896,1218,3806,334,1892,2611,7,54,1632,6
2020-05-22,1001,322,257,826,909,1223,3841,335,1913,2634,7,54,1641,6
2020-05-23,1015,322,257,826,915,1223,3865,335,1922,2649,7,54,1645,6
2020-05-24,1019,322,258,826,917,1224,3876,335,1934,2665,7,54,1658,6
2020-05-25,1019,322,260,827,917,1245,3892,335,1944,2669,7,54,1659,6
2020-05-26,1023,323,260,828,918,1250,3898,336,1948,2675,7,54,1659,6
2020-05-27,1029,323,260,830,919,1256,3916,337,1957,2685,7,54,1661,6
2020-05-28,1035,323,260,830,919,1259,3934,337,1968,2691,7,54,1665,6
2020-05-29,1039,325,260,831,919,1269,3939,337,1974,2698,8,54,1668,6
2020-05-30,1058,325,260,834,924,1273,3943,337,1984,2706,8,54,1670,6
2020-05-31,1060,325,260,835,928,1274,3946,337,1987,2709,8,54,1671,6
2020-06-01,1061,325,260,836,931,1278,3949,338,1987,2714,8,54,1671,6
2020-06-02,1061,325,260,871,935,1281,3950,338,1995,2716,8,54,1671,6
2020-06-03,1066,325,260,876,942,1282,3954,339,1998,2723,8,54,1671,6
2020-06-04,1071,325,261,877,944,1283,3961,338,2002,2752,8,54,1671,6
2020-06-05,1076,326,261,877,946,1284,3968,338,2005,2760,8,54,1673,6
2020-06-06,1077,326,261,879,946,1284,3971,339,2007,2769,8,54,1676,6
2020-06-07,1079,326,261,879,946,1286,3981,339,2008,2772,8,54,1676,6
2020-06-08,1080,326,261,879,947,1286,3988,340,2013,2774,8,54,1677,6
2020-06-09,1081,326,261,879,948,1287,3990,340,2018,2777,8,54,1678,6
2020-06-10,1081,327,261,880,948,1287,3990,340,2021,2778,8,54,1684,6
2020-06-11,1082,327,261,882,948,1288,3995,341,2022,2783,8,54,1685,6
2020-06-12,1086,327,261,883,948,1288,4000,341,2028,2794,8,54,1685,6
2020-06-13,1087,327,261,884,950,1288,4004,341,2031,2803,8,54,1686,6
2020-06-14,1088,327,261,885,952,1294,4010,341,2035,2807,8,54,1687,6
2020-06-15,1243,345,274,926,1048,1405,4805,373,2671,3110,9,54,1760,7
2020-06-16,1243,345,274,926,1051,1405,4808,373,2674,3116,9,54,1760,7
2020-06-17,1245,345,274,928,1051,1409,4810,373,2678,3123,9,54,1760,7
2020-06-18,1245,345,274,928,1053,1410,4813,373,2681,3125,9,54,1760,7
2020-06-19,1248,345,284,928,1053,1410,4814,373,2685,3134,9,54,1760,7
2020-06-20,1249,345,284,928,1055,1410,4819,373,2698,3139,9,54,1760,7
2020-06-21,1250,346,284,928,1056,1412,4827,373,2704,3145,9,54,1761,7
2020-06-22,1250,346,285,928,1057,1412,4830,373,2712,3146,9,54,1761,7
2020-06-23,1251,346,285,928,1058,1413,4832,374,2715,3147,9,54,1763,7
2020-06-24,1251,346,285,928,1061,1413,4834,374,2715,3150,9,54,1764,7
2020-06-25,1252,345,285,930,1061,1414,4838,374,2716,3146,9,54,1765,7
2020-06-26,1253,345,285,929,1064,1417,4844,374,2717,3148,9,54,1767,7
2020-06-27,1253,345,285,930,1066,1418,4848,374,2720,3151,9,54,1768,7
2020-06-28,1253,345,285,930,1068,1419,4850,375,2722,3151,9,54,1768,7
2020-06-29,1255,345,285,930,1069,1419,4851,375,2723,3151,9,54,1768,7
2020-06-30,1255,345,290,930,1070,1419,4853,375,2724,3151,9,54,1769,7
2020-07-01,1255,345,291,930,1070,1421,4858,375,2724,3151,9,54,1769,7
2020-07-02,1255,345,292,930,1070,1423,4858,375,2726,3151,9,54,1769,7
2020-07-03,1256,345,292,932,1076,1423,4858,375,2727,3153,9,54,1769,7
2020-07-04,1256,345,293,932,1076,1425,4860,375,2728,3156,9,54,1771,7
2020-07-05,1257,345,294,932,1076,1426,4861,376,2730,3157,9,54,1772,7
2020-07-06,1257,345,295,932,1077,1426,4861,376,2731,3158,9,54,1772,7
2020-07-07,1257,345,295,932,1078,1426,4862,376,2731,3158,9,54,1772,7
2020-07-08,1257,345,295,932,1083,1427,4863,376,2731,3158,9,54,1772,7
2020-07-09,1257,345,296,932,1085,1427,4865,376,2731,3159,9,54,1772,7
2020-07-10,1258,345,298,933,1085,1429,4871,376,2733,3163,9,54,1772,7
2020-07-11,1258,345,299,933,1085,1429,4872,377,2734,3165,9,54,1773,7
2020-07-12,1258,345,299,933,1086,1430,4884,377,2736,3166,9,54,1775,7
2020-07-13,1258,345,299,933,1087,1431,4887,377,2737,3166,9,54,1775,7
2020-07-14,1259,345,299,933,1087,1432,4887,377,2738,3166,9,54,1775,7
2020-07-15,1260,345,299,933,1087,1432,4890,377,2739,3166,9,54,1775,7
2020-07-16,1260,345,299,933,1088,1432,4896,377,2742,3167,9,54,1775,7
2020-07-17,1262,345,299,937,1091,1433,4897,377,2743,3169,9,54,1778,7
2020-07-18,1263,346,300,937,1092,1435,4905,377,2744,3174,9,54,1779,7
2020-07-19,1266,346,300,936,1092,1440,4912,378,2747,3177,9,54,1781,7
2020-07-20,1267,346,300,936,1092,1440,4914,378,2748,3180,9,54,1781,7
2020-07-21,1269,346,300,937,1092,1440,4918,378,2762,3181,9,54,1781,7
2020-07-22,1270,346,300,938,1092,1440,4921,378,2765,3182,9,54,1782,7
2020-07-23,1272,346,300,939,1092,1441,4926,379,2769,3183,9,54,1783,7
2020-07-24,1273,346,300,939,1091,1442,4940,381,2770,3184,9,54,1784,7
2020-07-25,1274,347,300,940,1091,1445,4949,381,2778,3187,9,54,1785,7
2020-07-26,1274,347,300,940,1091,1445,4953,381,2778,3187,9,54,1785,7
2020-07-27,1275,347,300,940,1091,1445,4954,381,2779,3187,9,54,1785,7
2020-07-28,1275,347,300,941,1091,1445,4957,381,2779,3187,9,54,1785,7
2020-07-29,1275,347,301,941,1092,1446,4971,381,2779,3192,9,54,1785,7
2020-07-30,1275,347,301,943,1096,1448,4976,381,2780,3193,9,54,1787,7
2020-07-31,1276,347,302,946,1096,1451,4983,382,2784,3198,9,54,1792,7
2020-08-01,1277,347,302,946,1097,1457,4986,383,2784,3203,9,54,1793,7
2020-08-02,1277,347,303,947,1097,1470,4994,383,2785,3208,9,54,1795,7
2020-08-03,1277,347,303,947,1097,1481,5000,383,2785,3209,9,54,1795,7
2020-08-04,1277,347,304,947,1097,1496,5004,383,2785,3212,9,54,1795,7
2020-08-05,1278,347,304,948,1098,1532,5019,385,2788,3215,9,54,1797,7
2020-08-06,1278,347,305,948,1099,1570,5036,385,2790,3218,9,54,1801,7
2020-08-07,1279,347,305,952,1100,1597,5041,385,2792,3219,9,54,1803,7
2020-08-08,1280,348,305,953,1102,1636,5050,386,2794,3222,9,54,1804,7
2020-08-09,1282,348,305,953,1107,1664,5052,386,2797,3227,9,55,1806,7
2020-08-10,1283,348,305,954,1103,1682,5058,386,2798,3230,9,55,1809,7
2020-08-11,1283,349,305,957,1104,1709,5071,388,2799,3231,9,56,1811,7
2020-08-12,1285,349,305,957,1106,1733,5079,388,2801,3236,9,56,1815,7
2020-08-13,1286,350,305,959,1107,1759,5089,388,2801,3237,12,56,1817,7
2020-08-14,1286,350,305,964,1107,1787,5098,389,2813,3239,14,56,1823,7
2020-08-15,1286,350,305,964,1108,1812,5106,389,2821,3243,15,56,1827,7
2020-08-16,1287,350,305,964,1108,1826,5117,389,2824,3248,16,56,1835,7
2020-08-17,1288,350,305,966,1108,1839,5123,390,2824,3248,16,56,1838,7
2020-08-18,1290,350,305,967,1109,1846,5135,391,2830,3251,16,56,1854,7
2020-08-19,1293,350,305,969,1110,1861,5145,392,2833,3254,16,56,1866,7
2020-08-20,1295,350,306,969,1112,1873,5167,393,2843,3254,16,56,1893,7
2020-08-21,1295,350,307,970,1112,1883,5183,396,2847,3259,16,56,1924,7
2020-08-22,1298,352,308,972,1113,1891,5194,399,2855,3265,16,56,2002,7
2020-08-23,1302,353,309,977,1114,1894,5210,399,2859,3276,16,56,2039,7
2020-08-24,1304,355,309,978,1117,1899,5225,399,2876,3283,16,56,2053,7
2020-08-25,1306,356,309,978,1118,1905,5237,401,2881,3291,16,56,2060,7
2020-08-26,1308,359,310,979,1118,1910,5252,402,2889,3306,16,56,2076,7
2020-08-27,1310,360,311,980,1120,1919,5273,403,2897,3313,16,56,2091,7
2020-08-28,1314,364,312,982,1123,1921,5287,403,2900,3321,16,56,2101,7
