Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-12-03,*,*,*,*,5,7,19,*,17,5,*,*,*,*,*
2020-12-04,*,*,*,*,5,6,15,*,17,7,*,*,5,*,*
2020-12-05,*,*,*,*,5,6,16,*,17,7,*,*,5,*,*
2020-12-06,*,*,*,*,5,6,15,*,16,7,*,*,5,*,*
2020-12-07,*,*,*,*,5,*,13,*,16,7,*,*,5,*,*
2020-12-08,*,*,*,*,5,*,12,*,15,7,*,*,7,*,*
2020-12-09,*,*,*,*,5,5,10,*,13,5,*,*,5,*,*
2020-12-10,*,*,*,*,5,5,12,*,13,5,*,*,5,*,*
2020-12-11,*,*,*,*,5,7,12,*,13,*,*,*,5,*,*
2020-12-12,*,*,*,*,*,7,11,*,14,*,*,*,5,*,*
2020-12-13,*,*,*,*,*,5,10,*,12,*,*,*,5,*,*
2020-12-14,*,*,*,*,*,5,9,*,13,5,*,*,*,*,*
2020-12-15,*,*,*,*,5,5,7,*,13,6,*,*,*,*,*
2020-12-16,*,*,*,*,7,5,8,*,12,8,*,*,*,*,*
2020-12-17,*,*,*,*,7,*,9,*,12,7,*,*,*,*,*
2020-12-18,*,*,*,*,7,*,9,*,12,8,*,*,*,*,*
2020-12-19,5,*,*,*,6,*,7,*,15,10,*,*,*,*,*
2020-12-20,7,*,*,*,6,7,7,*,15,10,*,*,*,*,*
2020-12-21,6,*,*,*,5,8,8,*,14,12,*,*,*,*,*
2020-12-22,5,*,*,*,5,11,10,*,12,11,*,*,*,*,*
2020-12-23,6,*,*,*,5,9,7,*,12,11,*,*,*,*,*
2020-12-24,7,*,*,*,5,7,8,*,12,11,*,*,*,*,*
2020-12-25,7,*,*,*,*,5,6,*,10,8,*,*,*,*,*
2020-12-26,7,*,*,*,*,7,7,*,11,9,*,*,*,*,*
2020-12-27,7,*,*,*,5,6,9,*,11,9,*,*,*,*,*
2020-12-28,6,*,*,*,6,6,12,*,9,10,*,*,*,*,*
2020-12-29,7,*,*,*,6,9,16,*,10,11,*,*,*,*,*
2020-12-30,8,*,*,*,6,11,15,*,11,11,*,*,*,*,*
2020-12-31,8,*,*,*,5,11,13,*,11,12,*,*,*,*,*
2021-01-01,9,*,*,5,5,10,12,*,11,13,*,*,*,*,*
2021-01-02,10,*,*,5,*,12,15,*,11,11,*,*,*,*,*
2021-01-03,10,*,*,5,*,13,20,*,10,7,*,*,5,*,*
2021-01-04,10,*,*,5,5,12,19,*,11,7,*,*,7,*,*
2021-01-05,11,*,*,6,6,12,24,*,13,7,*,*,7,*,*
2021-01-06,12,*,*,6,6,13,23,*,13,8,*,*,8,*,*
2021-01-07,10,*,5,7,8,13,21,*,13,9,*,*,9,*,*
2021-01-08,10,*,8,7,6,11,22,*,16,9,*,*,8,*,*
2021-01-09,11,5,9,9,5,11,25,*,14,11,*,*,8,*,*
2021-01-10,12,5,10,9,5,15,28,*,17,13,*,*,8,*,*
2021-01-11,10,7,11,8,6,13,31,*,16,14,*,*,8,*,*
2021-01-12,10,5,12,10,6,14,34,*,14,15,*,*,11,*,*
2021-01-13,10,5,13,8,7,15,35,*,13,14,*,*,10,*,*
2021-01-14,14,5,13,8,7,16,37,5,14,13,*,*,10,*,*
2021-01-15,13,5,12,10,6,13,39,6,14,13,*,*,9,*,*
2021-01-16,10,5,12,11,7,12,39,7,19,13,*,*,9,*,*
2021-01-17,12,5,13,10,8,11,40,7,19,12,*,*,9,*,*
2021-01-18,11,6,14,8,11,11,38,7,20,11,*,*,8,*,*
2021-01-19,14,6,15,8,9,10,43,7,18,12,*,*,7,*,*
2021-01-20,16,7,14,8,9,10,43,8,20,13,*,*,7,*,*
2021-01-21,16,8,13,6,9,8,45,8,24,16,*,*,7,*,*
2021-01-22,15,7,12,6,8,9,49,7,24,15,*,*,8,*,*
2021-01-23,13,5,13,6,8,10,45,7,25,19,*,*,7,*,*
2021-01-24,14,5,13,6,7,11,44,6,25,20,*,*,5,*,*
2021-01-25,15,5,12,6,7,9,44,6,25,16,*,*,5,*,*
2021-01-26,17,*,11,6,7,7,46,6,24,16,*,*,5,*,*
2021-01-27,17,*,11,5,8,7,47,5,23,13,*,*,5,*,*
2021-01-28,17,*,10,5,8,9,45,6,22,10,*,*,6,*,*
2021-01-29,17,*,10,5,9,10,46,6,22,10,*,*,6,*,*
2021-01-30,16,*,10,5,8,9,44,6,23,12,*,*,7,*,*
2021-01-31,15,*,10,5,9,9,42,7,23,13,*,*,8,*,*
2021-02-01,15,*,11,*,10,8,40,6,22,15,*,*,10,*,*
2021-02-02,15,*,6,*,9,10,42,8,22,12,*,*,10,*,*
2021-02-03,14,*,6,*,8,10,38,8,21,15,*,*,8,*,*
2021-02-04,14,*,6,*,9,8,35,7,20,15,*,*,9,*,*
2021-02-05,14,*,7,*,7,6,33,7,21,15,*,*,9,*,*
2021-02-06,12,*,8,*,7,6,29,8,20,15,*,*,8,*,*
2021-02-07,10,*,6,*,5,6,30,7,19,12,*,*,7,*,*
2021-02-08,11,*,6,*,*,6,29,9,20,10,*,*,7,*,*
2021-02-09,12,*,6,*,5,7,26,10,21,12,*,*,7,*,*
2021-02-10,12,*,7,*,9,5,26,10,21,13,*,*,*,*,*
2021-02-11,12,*,6,*,9,*,26,11,19,12,*,*,*,*,*
2021-02-12,12,*,6,*,10,6,29,10,21,11,*,*,5,*,*
2021-02-13,10,*,6,*,10,6,31,9,18,9,*,*,5,*,*
2021-02-14,10,*,*,*,10,6,30,8,17,8,*,*,*,*,*
2021-02-15,9,*,6,*,10,7,27,8,18,8,*,*,*,*,*
2021-02-16,9,*,6,*,9,6,26,7,18,8,*,*,5,*,*
2021-02-17,12,*,5,5,9,5,22,7,19,10,*,*,*,*,*
2021-02-18,12,*,6,5,11,5,19,5,18,11,*,*,*,*,*
2021-02-19,13,*,6,5,12,6,21,5,18,9,*,*,*,*,*
2021-02-20,12,*,6,5,14,5,23,5,15,10,*,*,*,*,*
2021-02-21,10,*,5,5,15,5,21,6,17,11,*,*,*,*,*
2021-02-22,10,*,5,5,14,6,20,6,18,12,*,*,*,*,*
2021-02-23,9,*,*,5,13,5,23,6,16,12,*,*,*,*,*
2021-02-24,9,*,*,5,15,5,22,6,16,12,*,*,*,*,*
2021-02-25,9,*,*,5,13,*,22,7,15,12,*,*,*,*,*
2021-02-26,9,*,*,*,10,*,21,6,15,10,*,*,*,*,*
2021-02-27,5,*,*,*,11,*,21,6,13,10,*,*,*,*,*
2021-02-28,5,*,*,*,10,*,22,6,16,11,*,*,*,*,*
2021-03-01,5,*,*,*,9,*,21,6,13,9,*,*,*,*,*
2021-03-02,5,*,*,*,10,*,23,5,11,8,*,*,*,*,*
2021-03-03,5,*,*,*,10,*,24,*,12,7,*,*,*,*,*
2021-03-04,5,*,*,*,9,*,24,*,11,7,*,*,*,*,*
2021-03-05,5,*,*,*,11,*,22,*,8,7,*,*,*,*,*
2021-03-06,5,*,*,*,10,*,22,*,8,7,*,*,*,*,*
2021-03-07,5,*,*,*,10,*,22,*,6,6,*,*,*,*,*
2021-03-08,*,*,*,*,8,*,23,*,8,5,*,*,*,*,*
2021-03-09,*,*,*,*,8,*,15,*,10,5,*,*,*,*,*
2021-03-10,*,*,*,*,8,*,14,*,10,5,*,*,*,*,*
2021-03-11,*,*,*,*,8,*,14,*,5,*,*,*,*,*,*
2021-03-12,*,*,*,*,7,*,14,*,5,*,*,*,*,*,*
2021-03-13,*,*,*,*,6,*,14,*,*,*,*,*,*,*,*
2021-03-14,*,*,*,*,7,*,14,*,*,*,*,*,*,*,*
2021-03-15,*,*,*,*,6,*,14,*,*,*,*,*,*,*,*
2021-03-16,*,*,*,*,6,*,15,*,*,5,*,*,*,*,*
2021-03-17,*,*,*,*,6,*,13,*,*,*,*,*,*,*,*
