Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-05-04,6,*,*,6,6,13,39,*,7,14,*,*,*,*,*
2020-05-05,8,*,*,5,*,13,32,*,10,18,*,*,*,*,*
2020-05-06,7,*,*,*,*,11,30,*,5,18,*,*,*,*,*
2020-05-07,7,*,*,*,*,11,32,*,7,12,*,*,*,*,*
2020-05-08,6,*,*,*,*,11,31,*,6,13,*,*,*,*,*
2020-05-09,9,*,*,*,*,10,30,*,8,20,*,*,*,*,*
2020-05-10,7,*,*,*,*,10,29,*,7,11,*,*,*,*,*
2020-05-11,8,*,*,*,5,11,28,*,9,8,*,*,*,*,*
2020-05-12,7,*,*,*,*,11,29,*,9,10,*,*,*,*,*
2020-05-13,7,*,*,*,*,9,27,*,6,6,*,*,*,*,*
2020-05-14,5,*,*,*,*,11,26,*,7,10,*,*,*,*,*
2020-05-15,*,*,*,*,*,8,22,*,12,12,*,*,*,*,*
2020-05-16,*,*,*,*,*,5,21,*,10,11,*,*,*,*,*
2020-05-17,*,*,*,*,*,5,20,*,11,7,*,*,*,*,*
2020-05-18,5,*,*,*,*,7,20,*,10,10,*,*,*,*,*
2020-05-19,*,*,*,*,*,6,20,*,7,7,*,*,*,*,*
2020-05-20,*,*,*,*,*,6,18,*,8,8,*,*,*,*,*
2020-05-21,*,*,*,*,*,6,16,*,*,12,*,*,*,*,*
2020-05-22,*,*,*,*,*,6,14,*,8,9,*,*,*,*,*
2020-05-23,*,*,*,*,*,*,13,*,6,10,*,*,*,*,*
2020-05-24,*,*,*,*,*,*,12,*,*,8,*,*,*,*,*
2020-05-25,*,*,*,*,*,*,12,*,*,9,*,*,*,*,*
2020-05-26,*,*,*,*,*,*,11,*,*,5,*,*,*,*,*
2020-05-27,*,*,*,*,*,*,9,*,5,12,*,*,*,*,*
2020-05-28,*,*,*,*,*,*,9,*,9,8,*,*,*,*,*
2020-05-29,*,*,*,*,*,5,9,*,8,9,*,*,*,*,*
2020-05-30,*,*,*,*,*,*,9,*,*,9,*,*,*,*,*
2020-05-31,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*
2020-06-01,*,*,*,*,*,*,7,*,*,5,*,*,*,*,*
2020-06-02,*,*,*,5,*,*,7,*,7,5,*,*,*,*,*
2020-06-03,*,*,*,*,*,*,6,*,6,9,*,*,*,*,*
2020-06-04,*,*,*,*,*,*,5,*,6,5,*,*,*,*,*
2020-06-05,*,*,*,*,*,5,*,*,*,*,*,*,*,*,*
2020-06-06,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2020-06-07,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*
2020-06-08,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*
2020-06-09,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*
2020-06-10,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2020-06-11,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*
2020-06-12,*,*,*,*,*,*,*,*,*,8,*,*,*,*,*
2020-06-13,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*
2020-06-14,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2020-06-15,*,*,*,*,*,5,*,*,*,*,*,*,*,*,*
2020-06-16,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*
2020-06-17,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*
2020-06-18,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*
2020-06-19,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2020-06-20,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*
2020-06-21,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*
2020-06-22,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*
2020-06-23,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*
2020-06-24,*,*,*,*,*,*,*,*,6,7,*,*,*,*,*
2020-06-25,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*
2020-06-26,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*
2020-06-27,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2020-06-28,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2020-06-29,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-30,*,*,*,*,*,*,*,*,*,9,*,*,*,*,*
2020-07-01,*,*,*,*,*,*,*,*,*,8,*,*,*,*,*
2020-07-02,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-03,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*
2020-07-04,*,*,*,*,*,*,*,*,*,12,*,*,*,*,*
2020-07-05,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-06,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-07,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-08,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-09,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-10,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*
2020-07-11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-14,*,*,*,*,*,*,*,*,*,9,*,*,*,*,*
2020-07-15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-17,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2020-07-18,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*
2020-07-19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
