Date,Schools - Percentage attendance - All,Schools - Percentage attendance - Primary,Schools - Percentage attendance - Secondary,Schools - Percentage attendance - Special
2021-01-06,4.918468089462756,7.420978480696252,1.3092371880187226,19.950124688279303
2021-01-07,4.104992369740571,6.208027415179681,0.9808021131338055,15.390839941738147
2021-01-08,3.8142477916609456,5.7900924043552955,0.8392926738631935,16.767283349561833
2021-01-11,6.688560559999999,9.24332637,2.98688274,15.28520499
2021-01-12,6.94706784,9.68365778,3.04880621,15.759521379999999
2021-01-13,7.033658480000001,9.84456229,3.07099805,16.90424766
2021-01-14,6.4460440100000005,9.03364296,2.7916320299999997,15.110793419999998
2021-01-15,5.81542833,8.128460630000001,2.5704857899999998,12.80985815
2021-01-18,7.00618975,9.80765791,3.0111530699999998,15.478858509999998
2021-01-19,7.38692193,10.25510468,3.3745847199999996,16.69375092
2021-01-20,7.352966889999999,10.327174860000001,3.1856680900000005,17.10332646
2021-01-21,6.884989449999999,9.74091473,2.87988938,16.2462908
2021-01-22,6.70442594,8.8689768,3.46845658,19.92299093
2021-01-25,7.25335047,10.18946437,3.1372347699999996,16.16102684
2021-01-26,7.594565820000001,10.70545795,3.22710399,17.86911529
2021-01-27,7.691747090000001,10.9072691,3.20542689,16.92749462
2021-01-28,7.501931470000001,10.56955641,3.21318004,16.480366869999997
2021-01-29,7.02730294,10.06585064,2.78145379,15.79994317
2021-02-01,7.58382574,10.795251499999999,2.98842571,17.16303347
2021-02-02,7.94067182,11.37534825,3.09966252,17.43161094
2021-02-03,7.9158392,11.31249837,3.1303584099999995,17.827960179999998
2021-02-04,7.65772978,10.9615138,3.00695016,17.38102276
2021-02-05,6.513859480000001,9.31114245,2.63542168,13.567746689999998
2021-02-08,7.80164445,10.73105229,3.56372428,17.38024587
2021-02-09,6.69543358,9.343172019999999,2.9320701000000002,13.9544688
2021-02-10,6.4885308,8.96684223,2.9060603300000003,15.849387039999998
2021-02-11,6.40618448,8.94135372,2.63658425,16.06346942
2021-02-12,6.37358586,8.82495958,2.62360623,15.80125336
2021-02-15,7.408635230000001,10.4185764,3.07411238,18.73727088
2021-02-16,8.05111202,11.292516469999999,3.40428942,20.32235459
2021-02-17,8.48742244,12.0479009,3.4339100599999997,20.341994229999997
2021-02-18,7.95851587,11.11998214,3.43400927,21.39627419
2021-02-19,7.20720721,10.4169917,2.7558895,15.359828140000001
2021-02-22,30.59786009,46.99256105,8.38972379,42.69344837
2021-02-23,30.771151140000004,47.48217199,8.34119928,43.865030669999996
2021-02-24,30.961795289999998,47.58464744,8.46676888,42.95680172
2021-02-25,30.585655560000003,47.18924545,8.20634823,44.311938899999994
2021-02-26,29.23242025,45.7804091,7.10289874,38.23018313
2021-03-01,30.85400488,47.27589777,8.71948538,46.52870494
2021-03-02,31.18957753,47.67625973,9.03229986,45.3102068
2021-03-03,31.114617430000003,47.63430789,8.95535111,44.01663536
2021-03-04,30.758646709999997,47.2688172,8.538049189999999,44.92831301
2021-03-05,29.203772179999998,45.43200158,7.4311601099999995,39.09382518
2021-03-08,30.95204778,46.84641596,8.94056139,46.54390179
2021-03-09,31.06176932,47.33503128,9.15762789,47.05882353
2021-03-10,30.83115588,47.17190522,8.99021334,44.70273316
2021-03-11,30.582977919999998,46.89096299,8.74452977,46.56821378
2021-03-12,29.30425526,45.47784894,7.78472281,41.95313596
